C_array,nnz_mean,scores_mean,scores_CV_mean,scores_CV_std
0.001000000000000001,0.0,0.5,0.5,0.0
0.0019306977288832516,0.0,0.5,0.5,0.0
0.0037275937203149457,1.7333333333333334,0.770274914089347,0.7578231292517006,0.046158354976020055
0.007196856730011528,7.0,0.820962199312715,0.8068027210884355,0.04705201759398798
0.01389495494373139,9.933333333333334,0.8603092783505154,0.8482993197278912,0.039584589186329656
0.026826957952797274,11.6,0.8912371134020618,0.8884353741496598,0.030604685385583655
0.051794746792312156,12.0,0.8994845360824743,0.8972789115646259,0.028490328695744117
0.1000000000000001,12.2,0.9006872852233677,0.9034013605442177,0.022001308338498296
0.19306977288832516,12.333333333333334,0.9008591065292095,0.9027210884353742,0.021360977507629386
0.3727593720314942,12.666666666666666,0.9013745704467353,0.9013605442176872,0.020294467877790903
0.7196856730011522,12.8,0.9012027491408935,0.9000000000000001,0.020134215764556134
1.3894954943731388,13.0,0.9013745704467354,0.8993197278911567,0.02036276128856569
2.6826957952797272,13.0,0.9013745704467354,0.8993197278911567,0.02036276128856569
5.1794746792312125,13.0,0.9017182130584193,0.8993197278911567,0.02036276128856569
10.0,13.0,0.9017182130584193,0.8993197278911567,0.02036276128856569
