seqIndex,FC,LW,DP,NK,AE,pcMK,_SolventAccessibilityD1025,tau2_GRAR740104,tau4_GRAR740104,QSO50_GRAR740104,QSO29_GRAR740104,meanEisenbergHydrophobicity,K_KR
80,0,0,0,0,0,0.666666667,10.526,14745.23529,6548.466667,0,0.086362,0.307894737,1
81,0,0,0,0,0,0,10.526,5034.176471,5659.266667,0,0.086866,-0.637368421,0.625008906
82,0,0,0,0,0,0,10,16246.94444,13764.875,0,0.067628,-0.059,0.8
83,0,0,0,0,0,0,15,10835.5,7452.4375,0,0.072205,0.0625,0.25
84,0,0,0,0,0,0.25,15,15215.72222,11432.25,0,0.07357,0.43,1
85,0,0,0,0,0,0.5,25,14243.83333,4873,0,0.064599,0.4645,1
86,0,0,0,0,0,0,15,14089.11111,11385.25,0,0.056865,0.271,1
87,0,0,0,0,0,0,25,12532,5470.3125,0,0.084018,0.578,1
88,0,0,0,0,0,0.166666667,30,10295.27778,9038.75,0,0.068502,0.1805,1
89,0,0,0,0,0,0,15,11607.83333,4667,0,0.078018,-0.401,0.333333333
90,0,0,0,0,0,0,5,12808.05556,13268.5625,0,0.066649,-0.4575,0.571428571
91,0,0,0,0,0,0,25,12577.5,5481.75,0,0.084087,0.562,1
92,0,0,0,0,0,0.285714286,10,10917.83333,7211.1875,0,0.075356,-0.3075,0.833333333
93,0,0,0,0,0,0.25,10,11296.11111,6508.9375,0,0.075093,-0.4135,0.857142857
94,0,0,0,0,0,0,10,7407.777778,9102.125,0,0.044664,-0.0185,0.833333333
95,0,0,0,0,0,0.333333333,28.571,12430.05263,7615.764706,0,0.074611,0.423809524,1
96,0,0,0,0,0,0,19.048,16908.36842,15776,0,0.058886,0.422857143,1
97,0,0,0,0,0,0,14.286,11096.10526,8020.411765,0,0.080156,0.517619048,1
98,0,0,0,0,0,0,28.571,15354.68421,14549.88235,0,0.062802,0.368571429,1
99,0,0,0,0,0,0.2,28.571,10252.57895,6772.235294,0,0.064685,0.295238095,1
100,0,0,0,0,0,0,19.048,9689.789474,11504.11765,0,0.050976,-0.734761905,0.444444444
101,0,0,0,0,0,0,33.333,8079.526316,6845.882353,0,0.054632,-0.360952381,0.166666667
102,0,0,0,0,0,0,22.727,9342.3,5224.388889,0,0.053506,0.282727273,0.666691112
103,0,0,0,0,0,0,22.727,9282.9,5233.944444,0,0.053298,0.235909091,0.333308888
104,0,0,0,0,0,0,22.727,10770.8,5867.888889,0,0.046271,0.215909091,0
105,0,0,0,0,0,0,9.091,8201.95,7277.722222,0,0.07227,-0.240909091,0.333333333
106,0,0,0,0,4.76,0,18.182,9155.2,3645.388889,0,0.06576,0.57,1
107,0,0,0,0,0,0,13.636,11615.2,5266.388889,0,0.051522,0.324090909,0.5
108,0,0,0,4.76,0,0.2,31.818,15459.85,6843.833333,0,0.070919,0.169090909,1
109,0,0,0,0,0,0.142857143,27.273,7644,7469.388889,0,0.060368,-0.071818182,1
110,0,0,0,0,0,0,17.391,10701.47619,7349.526316,0,0.079973,0.39173913,0.5
111,0,0,0,0,0,0,21.739,9749.285714,6408.578947,0,0.068258,0.545652174,0
112,0,0,0,0,0,0.2,13.043,13198.7619,8680.157895,0,0.056412,0.178695652,1
113,0,0,0,0,0,0,21.739,11749.7619,7767.368421,0,0.065913,0.155652174,1
114,0,0,0,0,0,0,8.696,11247.04762,8322.368421,0,0.060181,0.10173913,1
115,0,4.55,0,0,0,0,13.043,14617.09524,6359.052632,0,0.071839,0.202173913,1
116,0,0,0,0,0,0,17.391,11715.04762,5844.105263,0,0.085311,0.426956522,1
117,0,0,0,0,0,0,8.696,12354.19048,7748.157895,0,0.079747,-0.332173913,0.625007188
118,0,4.55,0,0,0,0,13.043,8893.761905,6688.052632,0,0.056161,-0.220434783,0.285723673
119,0,0,0,0,0,0,17.391,10521.09524,6946.315789,0,0.082504,0.504347826,1
120,0,0,0,0,0,0,17.391,11856.38095,6067.736842,0,0.087494,0.46173913,1
