threshold,TP,FP,TN,FN,TPR = sensitivity = hit rate = recall,TNR = specificity,FPR = fallout = 1 - specificity,accuracy,positive predictive value (PPV) = precision,false discovery rate (FDR) = 1 - PPV,negative predictive value (NPV),false omission rate (FOR) = 1 - NPV,Matthews correlation coefficient (MCC)
3.114324312939555,0.0,0.0,43.0,43.0,0.0,1.0,0.0,0.5,nan,nan,0.5,0.5,nan
3.0520378266807637,1.0,0.0,43.0,42.0,0.023255813953488372,1.0,0.0,0.5116279069767442,1.0,0.0,0.5058823529411764,0.49411764705882355,0.10846522890932808
2.989751340421973,1.0,0.0,43.0,42.0,0.023255813953488372,1.0,0.0,0.5116279069767442,1.0,0.0,0.5058823529411764,0.49411764705882355,0.10846522890932808
2.9274648541631816,1.0,0.0,43.0,42.0,0.023255813953488372,1.0,0.0,0.5116279069767442,1.0,0.0,0.5058823529411764,0.49411764705882355,0.10846522890932808
2.8651783679043907,1.0,0.0,43.0,42.0,0.023255813953488372,1.0,0.0,0.5116279069767442,1.0,0.0,0.5058823529411764,0.49411764705882355,0.10846522890932808
2.8028918816455994,1.0,0.0,43.0,42.0,0.023255813953488372,1.0,0.0,0.5116279069767442,1.0,0.0,0.5058823529411764,0.49411764705882355,0.10846522890932808
2.7406053953868086,1.0,0.0,43.0,42.0,0.023255813953488372,1.0,0.0,0.5116279069767442,1.0,0.0,0.5058823529411764,0.49411764705882355,0.10846522890932808
2.6783189091280173,1.0,0.0,43.0,42.0,0.023255813953488372,1.0,0.0,0.5116279069767442,1.0,0.0,0.5058823529411764,0.49411764705882355,0.10846522890932808
2.6160324228692264,1.0,0.0,43.0,42.0,0.023255813953488372,1.0,0.0,0.5116279069767442,1.0,0.0,0.5058823529411764,0.49411764705882355,0.10846522890932808
2.553745936610435,2.0,0.0,43.0,41.0,0.046511627906976744,1.0,0.0,0.5232558139534884,1.0,0.0,0.5119047619047619,0.4880952380952381,0.1543033499620919
2.491459450351644,2.0,0.0,43.0,41.0,0.046511627906976744,1.0,0.0,0.5232558139534884,1.0,0.0,0.5119047619047619,0.4880952380952381,0.1543033499620919
2.429172964092853,2.0,0.0,43.0,41.0,0.046511627906976744,1.0,0.0,0.5232558139534884,1.0,0.0,0.5119047619047619,0.4880952380952381,0.1543033499620919
2.3668864778340617,2.0,0.0,43.0,41.0,0.046511627906976744,1.0,0.0,0.5232558139534884,1.0,0.0,0.5119047619047619,0.4880952380952381,0.1543033499620919
2.304599991575271,3.0,0.0,43.0,40.0,0.06976744186046512,1.0,0.0,0.5348837209302325,1.0,0.0,0.5180722891566265,0.4819277108433735,0.1901172751573434
2.2423135053164795,3.0,0.0,43.0,40.0,0.06976744186046512,1.0,0.0,0.5348837209302325,1.0,0.0,0.5180722891566265,0.4819277108433735,0.1901172751573434
2.1800270190576887,3.0,0.0,43.0,40.0,0.06976744186046512,1.0,0.0,0.5348837209302325,1.0,0.0,0.5180722891566265,0.4819277108433735,0.1901172751573434
2.1177405327988974,3.0,0.0,43.0,40.0,0.06976744186046512,1.0,0.0,0.5348837209302325,1.0,0.0,0.5180722891566265,0.4819277108433735,0.1901172751573434
2.055454046540106,3.0,0.0,43.0,40.0,0.06976744186046512,1.0,0.0,0.5348837209302325,1.0,0.0,0.5180722891566265,0.4819277108433735,0.1901172751573434
1.9931675602813153,4.0,0.0,43.0,39.0,0.09302325581395349,1.0,0.0,0.5465116279069767,1.0,0.0,0.524390243902439,0.47560975609756095,0.2208630521496931
1.9308810740225242,5.0,0.0,43.0,38.0,0.11627906976744186,1.0,0.0,0.5581395348837209,1.0,0.0,0.5308641975308642,0.4691358024691358,0.24845199749997662
1.868594587763733,6.0,0.0,43.0,37.0,0.13953488372093023,1.0,0.0,0.5697674418604651,1.0,0.0,0.5375,0.4625,0.27386127875258304
1.8063081015049418,6.0,0.0,43.0,37.0,0.13953488372093023,1.0,0.0,0.5697674418604651,1.0,0.0,0.5375,0.4625,0.27386127875258304
1.7440216152461507,7.0,0.0,43.0,36.0,0.16279069767441862,1.0,0.0,0.5813953488372093,1.0,0.0,0.5443037974683544,0.45569620253164556,0.2976702788937936
1.6817351289873597,7.0,0.0,43.0,36.0,0.16279069767441862,1.0,0.0,0.5813953488372093,1.0,0.0,0.5443037974683544,0.45569620253164556,0.2976702788937936
1.6194486427285686,8.0,0.0,43.0,35.0,0.18604651162790697,1.0,0.0,0.5930232558139535,1.0,0.0,0.5512820512820513,0.44871794871794873,0.32025630761017426
1.5571621564697775,9.0,0.0,43.0,34.0,0.20930232558139536,1.0,0.0,0.6046511627906976,1.0,0.0,0.5584415584415584,0.44155844155844154,0.34188172937891387
1.4948756702109864,11.0,0.0,43.0,32.0,0.2558139534883721,1.0,0.0,0.627906976744186,1.0,0.0,0.5733333333333334,0.4266666666666667,0.3829708431025352
1.4325891839521954,14.0,0.0,43.0,29.0,0.32558139534883723,1.0,0.0,0.6627906976744186,1.0,0.0,0.5972222222222222,0.4027777777777778,0.4409585518440984
1.370302697693404,15.0,0.0,43.0,28.0,0.3488372093023256,1.0,0.0,0.6744186046511628,1.0,0.0,0.6056338028169014,0.39436619718309857,0.45963855977692164
1.308016211434613,18.0,0.0,43.0,25.0,0.4186046511627907,1.0,0.0,0.7093023255813954,1.0,0.0,0.6323529411764706,0.36764705882352944,0.5144957554275265
1.245729725175822,21.0,0.0,43.0,22.0,0.4883720930232558,1.0,0.0,0.7441860465116279,1.0,0.0,0.6615384615384615,0.3384615384615385,0.5683985600588051
